name,address,city/zip
Mallinson Vineyard and Hall,3029 N River Blvd,"Sugar Creek, MO 64050"
Martin Brothers Winery,1623 Old Iron Rd,"Hermann, MO 65041"
McKelvey Vineyards,8901 State Highway YY,"Leslie, MO 63056"
Meramec Vineyards,600 State Route B,"St. James, MO 65559"
Missouri State Winery and Distillery,9740 Red Spring Rd,"Mountain Grove, MO 65711"
Montelle Winery,201 Montelle Drive,"Augusta, MO 63332"
Montserrat Vineyards,104 NE 641 Rd,"Knob Noster, MO 65336"
Mount Pleasant Estates,5634 High St,"Augusta, MO 63332"
Mount Pleasant Winery,3125 Green Mountain Dr,"Branson, MO 65616"
Noboleis Vineyards,3125 Green Mountain Dr,"Augusta, MO 63332"
Oak Glenn Winery LLC,1104 Oak Glenn Pl,"Hermann, MO 65041"
Odessa Country Winery,2466 McNeel Rd,"Odessa, MO 64076"
Old Farm Winery,5375 Viehland Farm Rd,"Catawissa, MO 63015"
Osage Orange Vineyard & Winery,27243 Loeffler Store Trail,"Greencastle , MO 63544"
Peaceful Bend Vineyard,1942 Hwy T,"Steelville, MO 65565"
Persimmon Ridge Vineyards Winery LLC,7272 Sheppard Dr,"Barnhart, MO 63012"
Pirtle Winery,502 Spring St,"Weston, MO 64098"
Primitive Olde Crow and Winery,32 SE Hwy AA,"Clinton, MO 64735"
Red Fox Winery and Vineyards,1422 NW 800 Rd,"Urich, MO 64788"
Red Moose Vineyard,425 Hwy VV,"Salem, MO 65560"
River Ridge Winery - Commerce,850 County Rd 321,"Commerce, MO 63742"
Riverwood Winery,22200 State Rt 45 N,"Rushville, MO 64484"
Röbller Vineyard and Winery,275 Robller Vineyard Rd,"New Haven, MO 63068"
Sainte Genevieve Winery,245 Merchant St,"Ste. Genevieve, MO 63670"
Sand Creek Vineyard,3578 Sand Creek Rd,"Farmington, MO 63640"
Serenity Valley Winery,1888 County Road 342,"Fulton, MO 65251"
Seven Springs Winery,846 Winery Hills Estate,"Linn Creek, MO 65052"
Shawnee Bluff Vineyard,8 Tollwood Rd,"Eldon, MO 65026"
Shawnee Bluff Winery,2430 Bagnell Dam Blvd,"Lake of the Ozarks, MO 65049"
Small Batch Winery,620 West Hwy N,"Wentzville, MO 63385"
"St. Francois Vineyards, Winery & Brewery",1669 Pine Ridge Trail,"Park Hills, MO 63601"
St. James Winery,540 State Rt B,"St. James, MO 65559"
St. James Winery - Branson,405 State Highway 165,"Branson, MO 65616"
St. Jordan Creek Winery,2829 Hwy 50,"Beaufort, MO 63013"
Steele Crest Winery and Microbrewery,2055 Hwy Y,"Jackson, MO 63755"
Stone Hill Winery,1110 Stone Hill Hwy,"Hermann, MO 65041"
Stonehaus Farms Vineyard & Winery,"Lee's Summit, MO 64086","Lee's Summit, MO 64086"
Sugar Creek Winery and Vineyards,125 Boone Country Ln,"Defiance, MO 63341"
Terre Beau Winery,100 S Lynn St,"Dover, MO 64022"
The Barrens Winery,2815 N Hwy 51,"Perryville, MO 63775"
The Peculiar Winery,20709 Harper Road,"Peculiar, MO 64078"
Tipple Hill Winery & Vineyard,10501 SE US Hwy 36,"Easton, MO 64443"
Top Hat Winery,120 S. Main Street,"Independence, MO 64050"
Twin Meadows Winery,12466 Highway 24,"Madison, MO 65263"
Twin Oaks Vineyard and Winery,6470 Hwy F,"Farmington, MO 63640"
Twisted Vine Vineyard,6743 County Rd 315,"Fulton, MO 65251"
Tyler Ridge Vineyard Winery,7325 N Farm Rd 171,"Springfield, MO 65803"
Van Till Family Farm Winery,13986 Hwy C,"Rayville, MO 64084"
Vance Vineyards & Winery,1522 Madison 212,"Fredericktown, MO 63645"
Viandel Vineyard,8381 West US 60,"Mountain View, MO 65548"
Villa Antonio Winery,3660 Linhorst Rd,"Hillsboro, MO 63050"
Vox Vineyards,1099 Welt Street,"Weston, MO 64098"
Watertower Winery,11373 State Rt M,"Ste. Genevieve, MO 63670"
Weingarten Vineyard,12323 Rottler Rd.,"Ste. Genevieve, MO 63670"
Wenwood Farm Winery,1132 Brick Church Rd,"Bland, MO 65014"
West Winery,107 Vine St,"Macon, MO 63552"
Weston Wine Company,540 Main St.,"Weston, MO 64098"
Westphalia Vineyards,106 East Main,"Westphalia, MO 65085"
White Mule Winery,2087 Hwy 50,"Owensville, MO 65066"
Wild Sun Winery,4830 Pioneer Rd,"Hillsboro, MO 63050"
Wildlife Ridge Winery,34751 Miller Rd,"Smithton, MO 65350"
Windy Wine Company,9478 SW State Rt J,"Osborn, MO 64474"
